ideFiscalizacaoGeracao,nomFiscalizacaoGeracao,qtdFiscalizacaoGeracao,mesReferencia,anoReferencia,dthProcessamento
1,Fiscalização da expansão da oferta de energia elétrica,308,12,2012,08/01/2019 00:00:00
2,Fiscalização da produção de energia eletrica,383,12,2012,08/01/2019 00:00:00
3,Fiscalizacao dos agentes setoriais e atividades especificas relacionadas a geracao de energia eletrica,0,12,2012,08/01/2019 00:00:00
4,Fiscalização da expansão da oferta de energia elétrica,276,12,2013,08/01/2019 00:00:00
5,Fiscalização da produção de energia eletrica,385,12,2013,08/01/2019 00:00:00
6,Fiscalizacao dos agentes setoriais e atividades especificas relacionadas a geracao de energia eletrica,3,12,2013,08/01/2019 00:00:00
7,Fiscalização da expansão da oferta de energia elétrica,187,12,2014,08/01/2019 00:00:00
8,Fiscalização da produção de energia eletrica,311,12,2014,08/01/2019 00:00:00
9,Fiscalizacao dos agentes setoriais e atividades especificas relacionadas a geracao de energia eletrica,2,12,2014,08/01/2019 00:00:00
10,Fiscalização da expansão da oferta de energia elétrica,129,12,2015,08/01/2019 00:00:00
11,Fiscalização da produção de energia eletrica,310,12,2015,08/01/2019 00:00:00
12,Fiscalizacao dos agentes setoriais e atividades especificas relacionadas a geracao de energia eletrica,1,12,2015,08/01/2019 00:00:00
13,Fiscalização da expansão da oferta de energia elétrica,83,12,2016,08/01/2019 00:00:00
14,Fiscalização da produção de energia elétrica,276,12,2016,08/01/2019 00:00:00
15,Fiscalização dos  agentes setoriais e atividades específicas relacionadas à geração de energia elétrica,0,12,2016,08/01/2019 00:00:00
16,Fiscalizações de Geração - Total,225,12,2017,08/01/2019 00:00:00
18,Fiscalizações de Geração - Total,689,12,2018,30/04/2019 00:00:00
